Category	Question	Answer
Artificial Intelligence	What is Artificial Intelligence?	Artificial Intelligence is the simulation of human intelligence by machines.
Artificial Intelligence	What are the applications of AI?	AI is used in healthcare, finance, education, manufacturing, and transportation.
Artificial Intelligence	What is Generative AI?	Generative AI creates new content such as text, images, audio, and code.
Artificial Intelligence	What is Narrow AI?	Narrow AI is designed for a specific task.
Artificial Intelligence	What is General AI?	General AI refers to a theoretical system with human-level intelligence.
Artificial Intelligence	Can AI replace humans?	AI automates some tasks but works best alongside human expertise.
Artificial Intelligence	What is AI ethics?	AI ethics promotes fairness, transparency, accountability, and privacy.
Artificial Intelligence	What is computer vision?	Computer vision enables computers to analyze images and videos.
Artificial Intelligence	What is reinforcement learning?	It trains agents using rewards and penalties.
Artificial Intelligence	What is supervised learning?	It learns from labeled training data.
Artificial Intelligence	What is unsupervised learning?	It discovers patterns in unlabeled data.
Artificial Intelligence	What is an AI model?	An AI model is trained to make predictions or decisions.
Artificial Intelligence	What is AI bias?	AI bias results from biased data or model design.
Artificial Intelligence	What is automation?	Automation uses technology to perform repetitive tasks.
Artificial Intelligence	What is intelligent automation?	It combines AI with automation for complex processes.
Artificial Intelligence	What is robotics?	Robotics builds machines that perform physical tasks.
Artificial Intelligence	What is an AI assistant?	An AI assistant helps users through natural language interaction.
Artificial Intelligence	How does AI learn?	AI learns by identifying patterns in data.
Artificial Intelligence	What is expert system?	An expert system mimics the decision-making of human experts.
Artificial Intelligence	What are neural networks?	Neural networks are computing models inspired by the human brain.
Machine Learning	What is Machine Learning concept 1?	Machine Learning concept 1 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 2?	Machine Learning concept 2 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 3?	Machine Learning concept 3 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 4?	Machine Learning concept 4 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 5?	Machine Learning concept 5 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 6?	Machine Learning concept 6 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 7?	Machine Learning concept 7 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 8?	Machine Learning concept 8 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 9?	Machine Learning concept 9 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 10?	Machine Learning concept 10 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 11?	Machine Learning concept 11 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 12?	Machine Learning concept 12 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 13?	Machine Learning concept 13 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 14?	Machine Learning concept 14 explains an important ML principle used in building predictive models.
Machine Learning	What is Machine Learning concept 15?	Machine Learning concept 15 explains an important ML principle used in building predictive models.
Deep Learning	What is Deep Learning concept 1?	Deep Learning concept 1 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 2?	Deep Learning concept 2 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 3?	Deep Learning concept 3 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 4?	Deep Learning concept 4 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 5?	Deep Learning concept 5 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 6?	Deep Learning concept 6 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 7?	Deep Learning concept 7 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 8?	Deep Learning concept 8 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 9?	Deep Learning concept 9 explains how deep neural networks solve complex learning problems.
Deep Learning	What is Deep Learning concept 10?	Deep Learning concept 10 explains how deep neural networks solve complex learning problems.
Natural Language Processing	What is NLP concept 1?	NLP concept 1 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 2?	NLP concept 2 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 3?	NLP concept 3 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 4?	NLP concept 4 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 5?	NLP concept 5 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 6?	NLP concept 6 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 7?	NLP concept 7 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 8?	NLP concept 8 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 9?	NLP concept 9 explains how computers understand and process human language.
Natural Language Processing	What is NLP concept 10?	NLP concept 10 explains how computers understand and process human language.
Python Programming	What is Python?	Python is a high-level programming language.
Python Programming	Why is Python popular?	It is easy to learn and has a rich ecosystem.
Python Programming	What is a Python variable?	A variable stores data values.
Python Programming	What is a list in Python?	A list stores multiple ordered items.
Python Programming	What is a dictionary in Python?	A dictionary stores key-value pairs.
Python Programming	What is a function?	A function is a reusable block of code.
Python Programming	What is a module?	A module is a Python file containing reusable code.
Python Programming	What is pip?	Pip is Python's package manager.
Python Programming	What is a virtual environment?	A virtual environment isolates project dependencies.
Python Programming	What is exception handling?	It manages runtime errors gracefully.
Python Programming	What is Pandas?	Pandas is used for data manipulation.
Python Programming	What is NumPy?	NumPy provides efficient numerical computing.
Python Programming	What is OOP?	Object-oriented programming organizes code using classes and objects.
Python Programming	What is indentation?	Indentation defines code blocks in Python.
Python Programming	How do I run a Python file?	Use the command python filename.py.
Data Science	What is Data Science concept 1?	Data Science concept 1 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 2?	Data Science concept 2 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 3?	Data Science concept 3 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 4?	Data Science concept 4 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 5?	Data Science concept 5 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 6?	Data Science concept 6 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 7?	Data Science concept 7 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 8?	Data Science concept 8 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 9?	Data Science concept 9 explains techniques for extracting insights from data.
Data Science	What is Data Science concept 10?	Data Science concept 10 explains techniques for extracting insights from data.
Streamlit & Tools	How do I use Streamlit feature 1?	Streamlit feature 1 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 2?	Streamlit feature 2 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 3?	Streamlit feature 3 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 4?	Streamlit feature 4 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 5?	Streamlit feature 5 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 6?	Streamlit feature 6 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 7?	Streamlit feature 7 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 8?	Streamlit feature 8 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 9?	Streamlit feature 9 helps developers build interactive Python web applications.
Streamlit & Tools	How do I use Streamlit feature 10?	Streamlit feature 10 helps developers build interactive Python web applications.
General & Support	How do I contact support?	You can contact support by email or the official help desk.
General & Support	What are your working hours?	Support is available Monday to Friday from 9:00 AM to 6:00 PM.
General & Support	How do I reset my password?	Use the Forgot Password option on the login page.
General & Support	How do I create an account?	Register using your email address and complete verification.
General & Support	Is my data secure?	Your data is protected using standard security practices.
General & Support	Can I use this chatbot on mobile?	Yes, it works on modern mobile browsers.
General & Support	How do I report a bug?	Submit the issue through the support page.
General & Support	Is this chatbot free?	Yes, this project is for educational purposes.
General & Support	Who developed this chatbot?	It was developed using Python, NLTK, Scikit-learn, and Streamlit.
General & Support	How does this chatbot answer questions?	It preprocesses text, applies TF-IDF vectorization, and uses cosine similarity to find the best answer.
